№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
7241,Автобус,Остановка,7 КМ А.Д. ДИБУНЫ-БЕЛООСТРОВ,7 КМ А.Д. ДИБУНЫ-БЕЛООСТРОВ,"Белоостровское шоссе, ЗСД","315, 315","60.1344935291839,30.0611"
7242,Автобус,Остановка,7 КМ А.Д. ДИБУНЫ-БЕЛООСТРОВ,7 КМ А.Д. ДИБУНЫ-БЕЛООСТРОВ,"Белоостровское шоссе, ЗСД","315, 315","60.1338098807444,30.0624332"
7243,Автобус,Остановка,"ПРИМОРСКИЙ ПР.,147","ПРИМОРСКИЙ ПР.,147","Приморский проспект, Беговая улица","112, 134А, 134Б","59.9839909047661,30.2055702"
7244,Автобус,Остановка,БОРОВАЯ УЛ,БОРОВАЯ УЛ,"Боровая улица, Прилукская улица",57,"59.9117881664242,30.3412952"
7245,Автобус,Остановка,АРЦЕУЛОВСКАЯ АЛЛЕЯ,АРЦЕУЛОВСКАЯ АЛЛЕЯ,"Комендантский проспект, Арцеуловская аллея","127, 127М, 134, 223, 227","60.0402544412708,30.2216263"
7246,Автобус,Остановка,"ПЛАНЕРНАЯ УЛ., 71","ПЛАНЕРНАЯ УЛ., 71","Планерная улица, ЗСД","170, 171, 202, 85","60.0250074397002,30.2153511"
7247,Автобус,Остановка,УЛ. ШАВРОВА,УЛ. ШАВРОВА,"Планерная улица, улица Шаврова","170, 223","60.0200828166826,30.225193"
7248,Троллейбус,Остановка,"Конечная станция ""Казанский собор""","Конечная станция ""Казанский собор""","Казанская улица, Казанская площадь",17,"59.9341782893442,30.3231583"
7249,Автобус,Остановка,"СОЛНЕЧНОЕ, УЛ. ТАНКИСТОВ, ПО ТРЕБОВАНИЮ","СОЛНЕЧНОЕ, УЛ. ТАНКИСТОВ, ПО ТРЕБОВАНИЮ","Зеленогорское шоссе, улица Танкистов",304,"60.1593537107001,29.9367428"
7250,Автобус,ДС,УДЕЛЬНАЯ ПОСАДКИ-ВЫСАДКИ НЕТ,УДЕЛЬНАЯ ПОСАДКИ-ВЫСАДКИ НЕТ,"Скобелевский проспект, Фермское шоссе","112, 219, 279","60.0173420468479,30.3126431"
7251,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ., 45","ЗАРЕЧНАЯ УЛ., 45",,"104, 143, 199, 214Б, 271","60.0832519989657,30.3541088"
7252,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ.,41","ЗАРЕЧНАЯ УЛ.,41",,"104, 143, 199, 214Б, 271","60.0835994597839,30.3460217"
7253,Автобус,Остановка,УЛ. ФЁДОРА АБРАМОВА,УЛ. ФЁДОРА АБРАМОВА,"улица Фёдора Абрамова, Заречная улица","104, 143, 198, 199, 214Б, 271","60.0822504737648,30.3414688"
7254,Автобус,Остановка,ЗАРЕЧНАЯ УЛ,ЗАРЕЧНАЯ УЛ,"улица Фёдора Абрамова, Заречная улица","143, 148, 199, 214А, 271","60.0829011279528,30.3426552"
7255,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ., 45","ЗАРЕЧНАЯ УЛ., 45",,"143, 148, 199, 214А, 271","60.0835211110957,30.3476753"
7256,Автобус,Остановка,"УЛ. ФЁДОРА АБРАМОВА, 18","УЛ. ФЁДОРА АБРАМОВА, 18",улица Фёдора Абрамова,"143, 148, 198, 199, 214А, 271","60.0798112579094,30.3432083"
7257,Автобус,Остановка,"УЛ. ФЁДОРА АБРАМОВА, 18","УЛ. ФЁДОРА АБРАМОВА, 18",улица Фёдора Абрамова,"104, 143, 198, 199, 214Б, 271","60.078983382464,30.3430309"
7258,Автобус,Остановка,УЛ. НИКОЛАЯ РУБЦОВА,УЛ. НИКОЛАЯ РУБЦОВА,"улица Фёдора Абрамова, улица Николая Рубцова","143, 148, 198, 199, 214А, 271","60.076455337858,30.3425121"
7259,Автобус,Остановка,Ж.-Д. СТАНЦИЯ ДИБУНЫ,Ж.-Д. СТАНЦИЯ ДИБУНЫ,"Скородумовская улица, Пролетарский проспект",259,"60.1225191243234,30.12747"
7260,Автобус,Остановка,Ж.-Д. СТАНЦИЯ ДИБУНЫ,Ж.-Д. СТАНЦИЯ ДИБУНЫ,"Пролетарский проспект, Скородумовская улица",259,"60.1229206096174,30.1274586"
7261,Автобус,Остановка,"СЕВЕРНАЯ ПЛ., ПОСАДКА","СЕВЕРНАЯ ПЛ., ПОСАДКА","Гражданский проспект, Гражданский мост","206, 270","60.0234137577466,30.4074383"
7262,Автобус,Остановка,ЗАРЕЧНАЯ УЛ. УГ. АННИНСКОГО ШОССЕ,ЗАРЕЧНАЯ УЛ. УГ. АННИНСКОГО ШОССЕ,"Заречная улица, Аннинское шоссе",20,"59.7800142779513,30.1491833"
7263,Автобус,Остановка,"КРАСНОГОРОДСКАЯ УЛ.,15","КРАСНОГОРОДСКАЯ УЛ.,15","Красногородская улица, Гатчинское шоссе","145, 147, 149, 245","59.7176015375008,30.0785446"
7264,Автобус,Остановка,"УЛ. ПАРТИЗАНА ГЕРМАНА, 47","УЛ. ПАРТИЗАНА ГЕРМАНА, 47","улица Партизана Германа, проспект Народного Ополчения","111, 2, 260, 2А","59.8249227002744,30.1756802"
7265,Автобус,Остановка,"УЛ. ПОДВОЙСКОГО , 38","УЛ. ПОДВОЙСКОГО , 38",улица Подвойского,"161, 164, 234, 255Б, 97","59.916609086759,30.4904327"
7266,Автобус,Остановка,"УЛ. ПОДВОЙСКОГО , 38","УЛ. ПОДВОЙСКОГО , 38",улица Подвойского,"161, 164, 234, 255А, 97","59.916492680739,30.4913139"
7267,Автобус,Остановка,КУШЕЛЕВСКАЯ ДОРОГА,КУШЕЛЕВСКАЯ ДОРОГА,"проспект Маршала Блюхера, Кушелевская дорога","137, 185, 222, 237, 249, 271","59.9849304970131,30.3665504"
7268,Автобус,Остановка,КУШЕЛЕВСКАЯ ДОРОГА,КУШЕЛЕВСКАЯ ДОРОГА,"проспект Маршала Блюхера, Кушелевская дорога","137, 185, 222, 237, 249, 271","59.9845888301911,30.3666191"
7269,Автобус,Остановка,ПИОНЕРСКИЙ ПАРК,ПИОНЕРСКИЙ ПАРК,"проспект Мечникова, Пискарёвский проспект","105, 106, 107, 123, 136, 137, 176, 230, 237, 249, 264, 33","59.9837209806072,30.4212093"
7270,Автобус,Остановка,"ПР. ЛУНАЧАРСКОГО, 78","ПР. ЛУНАЧАРСКОГО, 78",проспект Луначарского,"178, 199, 271, 272","60.0349704751738,30.3724785"
7271,Автобус,Остановка,ПР. ЧЕРНЫШЕВСКОГО,ПР. ЧЕРНЫШЕВСКОГО,"улица Чайковского, проспект Чернышевского","290, 76","59.9466966145403,30.3579445"
7272,Автобус,Остановка,ЛИТЕЙНЫЙ ПР,ЛИТЕЙНЫЙ ПР,"улица Чайковского, Друскеникский переулок","290, 76","59.9467445028557,30.3506393"
7273,Автобус,Остановка,СТУДЕНЧЕСКАЯ УЛ,СТУДЕНЧЕСКАЯ УЛ,"Студенческая улица, Земледельческая улица",267,"59.9902327139938,30.3286724"
7274,Автобус,Остановка,АЛЛЕЯ КОТЕЛЬНИКОВА,АЛЛЕЯ КОТЕЛЬНИКОВА,"Коломяжский проспект, аллея Котельникова","127, 134Б, 135, 171, 172, 235, 267, 279, 38, 45, 9","60.0119178611341,30.294672"
7275,Автобус,Остановка,АЛЛЕЯ КОТЕЛЬНИКОВА,АЛЛЕЯ КОТЕЛЬНИКОВА,"Коломяжский проспект, аллея Котельникова","127, 134А, 135, 171, 172, 235, 267, 279, 38, 45, 9","60.0120919677653,30.2950115"
7276,Автобус,Остановка,"МЕБЕЛЬНАЯ УЛ., Д.47","МЕБЕЛЬНАЯ УЛ., Д.47","Мебельная улица, Приморское шоссе","125, 154А, 172","59.9941985722254,30.1975994"
7277,Автобус,Остановка,"МЕБЕЛЬНАЯ УЛ., Д.47","МЕБЕЛЬНАЯ УЛ., Д.47","Мебельная улица, Приморское шоссе",126,"59.9941541681754,30.1983566"
7278,Автобус,Остановка,УЛ. ОПТИКОВ,УЛ. ОПТИКОВ,"Гаккелевская улица, улица Оптиков","126, 166, 216А, 258, 279, 294","59.9947348318169,30.2534084"
7279,Автобус,Остановка,"УЛ. ИЛЬЮШИНА, 11","УЛ. ИЛЬЮШИНА, 11",улица Ильюшина,"126, 223, 235, 294","60.0094529590897,30.2415676"
7280,Автобус,Остановка,"УЛ. ИЛЬЮШИНА, 11","УЛ. ИЛЬЮШИНА, 11","улица Ильюшина, проспект Авиаконструкторов","125, 223, 235, 294","60.0089681506374,30.2429752"
7281,Автобус,Остановка,СРЕДНЕОХТИНСКИЙ ПР,СРЕДНЕОХТИНСКИЙ ПР,"Большая Пороховская улица, Среднеохтинский проспект",222,"59.9535644606454,30.4161816"
7282,Автобус,Остановка,ВОРОНЕЖСКАЯ УЛ,ВОРОНЕЖСКАЯ УЛ,"Курская улица, Воронежская улица",57,"59.9127777448221,30.3443871"
7283,Автобус,Остановка,РАССТАННАЯ УЛИЦА,РАССТАННАЯ УЛИЦА,"Расстанная улица, Воронежская улица",57,"59.9081480446709,30.343153"
7284,Трамвай,Остановка,"Ст. метро ""Ладожская""","Ст. метро ""Ладожская""","Гранитная улица, Зольная улица","63, 8","59.9324433467437,30.4407463"
7285,Автобус,Остановка,ПЛ. БЕЛЛИНСГАУЗЕНА,ПЛ. БЕЛЛИНСГАУЗЕНА,"Морская набережная, Прибалтийская площадь","100, 158, 220, 261","59.9391362344811,30.210146"
7286,Автобус,Остановка,ФИНЛЯНДСКАЯ УЛ,ФИНЛЯНДСКАЯ УЛ,"Финляндская улица, Фидерная улица","328, 337А","59.7535741530826,30.5629826"
7287,Автобус,Остановка,КОЛПИНСКИЙ АВТОБУСНЫЙ ПАРК,КОЛПИНСКИЙ АВТОБУСНЫЙ ПАРК,Финляндская улица,"328, 337А","59.7533711627377,30.5686188"
7288,Автобус,Остановка,КОЛПИНСКИЙ АВТОБУСНЫЙ ПАРК,КОЛПИНСКИЙ АВТОБУСНЫЙ ПАРК,Финляндская улица,"328, 337А","59.7531509684266,30.5703487"
7289,Автобус,Остановка,ФИНЛЯНДСКАЯ УЛ,ФИНЛЯНДСКАЯ УЛ,"Финляндская улица, улица Братьев Радченко","328, 337А","59.7531991360561,30.5789661"
7290,Автобус,Остановка,УЛ. БРАТЬЕВ РАДЧЕНКО,УЛ. БРАТЬЕВ РАДЧЕНКО,"улица Братьев Радченко, Финляндская улица","328, 337А","59.7527931495758,30.5799828"
7291,Автобус,Остановка,"КУШЕЛЕВСКАЯ ДОРОГА, Д. 5","КУШЕЛЕВСКАЯ ДОРОГА, Д. 5",Кушелевская дорога,"222, 271, 275, 295, 60","59.9889721478815,30.371151"
7292,Автобус,Остановка,"КУШЕЛЕВСКАЯ ДОРОГА, Д. 12","КУШЕЛЕВСКАЯ ДОРОГА, Д. 12",Кушелевская дорога,"222, 271, 275, 295, 60","59.9887500919663,30.3695583"
7293,Автобус,Остановка,"ПР. ЛУНАЧАРСКОГО, 78","ПР. ЛУНАЧАРСКОГО, 78",проспект Луначарского,"178, 199, 271, 272","60.0344928639571,30.3731747"
7294,Автобус,Остановка,ФИДЕРНАЯ УЛ,ФИДЕРНАЯ УЛ,"Фидерная улица, Финляндская улица","326, 337А, 364, 367, 368","59.7533195548262,30.561821"
7295,Автобус,Остановка,"УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ","УЛ. ПЕРЕДОВИКОВ, УГ. ПР. ЭНТУЗИАСТОВ","проспект Энтузиастов, улица Передовиков",77,"59.9451538896568,30.4652843"
7296,Автобус,Остановка,"САДОВОДСТВО ""ВОСХОД-2""","САДОВОДСТВО ""ВОСХОД-2""","10-я линия, 9-я линия",469,"59.9108396500995,31.2752323"
7297,Автобус,Остановка,СУВОРОВСКИЙ ПР,СУВОРОВСКИЙ ПР,"Кирочная улица, Суворовский проспект","105, 21, 22, 290, 54, 76","59.9424513825843,30.3805141"
7298,Автобус,Остановка,"ПОЛОЦКАЯ УЛ., 17","ПОЛОЦКАЯ УЛ., 17",Полоцкая улица,254,"59.7404254011313,30.4594955"
7299,Автобус,Остановка,"ПОЛОЦКАЯ УЛ., 16","ПОЛОЦКАЯ УЛ., 16",Полоцкая улица,254,"59.7397955352106,30.4603806"
7300,Автобус,Остановка,ОКУЛОВСКАЯ УЛ,ОКУЛОВСКАЯ УЛ,"Вишерская улица, Окуловская улица","190, 281, 385","59.8084085727262,30.3728848"
7301,Автобус,Остановка,АТАМАНСКАЯ УЛ,АТАМАНСКАЯ УЛ,"Атаманская улица, Кременчугская улица",58,"59.9168966763525,30.3759003"
7302,Автобус,Остановка,"СТ. МЕТРО ""МОСКОВСКАЯ""","СТ. МЕТРО ""МОСКОВСКАЯ""","Московский проспект, Алтайская улица","150, 155, 187, 252, 299, 90","59.8486750844054,30.321207"
7303,Автобус,Остановка,"СТ. МЕТРО ""МОСКОВСКАЯ""","СТ. МЕТРО ""МОСКОВСКАЯ""","Московский проспект, Алтайская улица","13, 13А, 147, 263, 301","59.8489118022464,30.321207"
7304,Автобус,Остановка,"СТ. МЕТРО ""МОСКОВСКАЯ""","СТ. МЕТРО ""МОСКОВСКАЯ""","Московский проспект, Алтайская улица","243, 281, 59","59.8494435535763,30.3211937"
7305,Автобус,Остановка,АВТОМОБИЛЬНАЯ УЛ,АВТОМОБИЛЬНАЯ УЛ,"Сетевая улица, Автомобильная улица","179, 197, 374, 375, 375А, 394","59.7304149799277,30.4416065"
7306,Автобус,Остановка,АВТОМОБИЛЬНАЯ УЛ,АВТОМОБИЛЬНАЯ УЛ,"Сетевая улица, Автомобильная улица","197, 394","59.7302359492443,30.4424648"
7307,Автобус,Остановка,ПРОМЫШЛЕННАЯ УЛ,ПРОМЫШЛЕННАЯ УЛ,"Промышленная улица, Сетевая улица","197, 394","59.7317542367514,30.4552879"
7308,Автобус,Остановка,ПРОМЫШЛЕННАЯ УЛ,ПРОМЫШЛЕННАЯ УЛ,"Сетевая улица, Промышленная улица","197, 394","59.7307145098893,30.4551716"
7309,Автобус,Остановка,"ГАЛИЦКАЯ УЛ., 12","ГАЛИЦКАЯ УЛ., 12","Галицкая улица, Ростовская улица","197, 394","59.7335444191699,30.4576683"
7310,Автобус,Остановка,"РОСТОВСКАЯ УЛ., 4","РОСТОВСКАЯ УЛ., 4","Ростовская улица, Галицкая улица","197, 254, 394","59.7352828699758,30.4612408"
7311,Автобус,Остановка,МАЛИНОВСКАЯ УЛ,МАЛИНОВСКАЯ УЛ,"Малиновская улица, улица Архитектора Данини",342,"59.6941072407735,30.4253483"
7312,Автобус,Остановка,"МАЛИНОВСКАЯ УЛ., 17","МАЛИНОВСКАЯ УЛ., 17","Малиновская улица, Павловское шоссе",342,"59.695995938546,30.4236126"
7313,Автобус,Остановка,"МАЛИНОВСКАЯ УЛ., 11","МАЛИНОВСКАЯ УЛ., 11","Малиновская улица, Павловское шоссе",342,"59.6982636137457,30.4212627"
7314,Автобус,Остановка,"МАЛИНОВСКАЯ УЛ., 11","МАЛИНОВСКАЯ УЛ., 11","Малиновская улица, Павловское шоссе",342,"59.6985978933021,30.4211979"
7315,Автобус,Остановка,"КЕДРИНСКАЯ УЛ., 6","КЕДРИНСКАЯ УЛ., 6","Кедринская улица, переулок Белозёрки",342,"59.699638618593,30.4147396"
7316,Автобус,Остановка,"КЕДРИНСКАЯ УЛ., 6","КЕДРИНСКАЯ УЛ., 6","Кедринская улица, переулок Белозёрки",342,"59.6994559770909,30.4150963"
7317,Автобус,Остановка,УЛ. РОЗЕНШТЕЙНА 19,УЛ. РОЗЕНШТЕЙНА 19,"улица Розенштейна, улица Шкапина",205,"59.9061959805656,30.2901573"
7318,Автобус,Остановка,МОЛОДЕЖНЫЙ ПЕР,МОЛОДЕЖНЫЙ ПЕР,"улица Ивана Черных, Молодёжный переулок",205,"59.9018530824733,30.2825699"
7319,Автобус,Остановка,СИВКОВ ПЕР,СИВКОВ ПЕР,"улица Ивана Черных, Сивков переулок",205,"59.9002808681516,30.2775898"
7320,Автобус,Остановка,СИВКОВ ПЕР,СИВКОВ ПЕР,"Балтийская улица, Сивков переулок",205,"59.8984037043404,30.283062"
7321,Автобус,Остановка,УЛ. ШКАПИНА 48,УЛ. ШКАПИНА 48,"улица Шкапина, улица Метростроевцев",205,"59.9035724996359,30.2907562"
7322,Автобус,Остановка,УЛ. ШКАПИНА 14,УЛ. ШКАПИНА 14,"улица Шкапина, Библиотечный переулок",205,"59.9066377735421,30.2938538"
7323,Автобус,Остановка,ИОАННОВСКОЕ КЛАДБИЩЕ,ИОАННОВСКОЕ КЛАДБИЩЕ,,446,"59.6867858070234,30.001667"
7324,Автобус,Остановка,ИОАННОВСКОЕ КЛАДБИЩЕ,ИОАННОВСКОЕ КЛАДБИЩЕ,,446,"59.6859722155915,30.0025005"
7325,Автобус,Остановка,СЧАСТЛИВАЯ УЛ,СЧАСТЛИВАЯ УЛ,"Парадная улица, Галерейная улица",493,"59.6718587767602,30.5154724"
7326,Автобус,Остановка,СЧАСТЛИВАЯ УЛ,СЧАСТЛИВАЯ УЛ,"Парадная улица, Галерейная улица",493,"59.6710689658068,30.5165176"
7327,Автобус,Остановка,НИИ ИМ. Р.Р. ВРЕДЕНА,НИИ ИМ. Р.Р. ВРЕДЕНА,"улица Академика Байкова, Светлановский проспект",78,"60.0264338393096,30.3795166"
7328,Автобус,Временная,ПОЛОЦКАЯ УЛ,ПОЛОЦКАЯ УЛ,"Полоцкая улица, Колпинское шоссе","375, 375А, 388","59.7357716854057,30.4700146"
7329,Автобус,Временная,"ПОЛОЦКАЯ УЛ., 4","ПОЛОЦКАЯ УЛ., 4","Полоцкая улица, Колпинское шоссе","375, 375А, 388","59.7357475890379,30.46945"
7330,Автобус,Остановка,АЛЕКСАНДРОВСКИЙ ДВОРЕЦ,АЛЕКСАНДРОВСКИЙ ДВОРЕЦ,"Дворцовая улица, Малая улица",371,"59.7208595993246,30.395647"
7331,Автобус,Остановка,ГОРНАЯ УЛ. Д.10,ГОРНАЯ УЛ. Д.10,Горная улица,339,"59.6653776380472,30.4109745"
7332,Автобус,Остановка,"СТ. МЕТРО ""ЛАДОЖСКАЯ""","СТ. МЕТРО ""ЛАДОЖСКАЯ""","Гранитная улица, Уткин переулок","123, 131, 137, 183, 185, 21, 222, 271, 295, 46, 5","59.9315091092931,30.4398422"
7333,Автобус,Остановка,"ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","ГОСТИНИЦА ""ПРИБАЛТИЙСКАЯ""","Прибалтийская площадь, улица Кораблестроителей","100, 158, 220","59.9404363320638,30.216053"
7334,Автобус,Остановка,"МОРСКАЯ НАБ., 19","МОРСКАЯ НАБ., 19","Морская набережная, Мичманская улица","100, 158, 220, 261","59.9463921800605,30.2064266"
7335,Автобус,Остановка,ПЛЕСЕЦКАЯ УЛ,ПЛЕСЕЦКАЯ УЛ,"Комендантский проспект, Плесецкая улица","127, 127М, 134, 223, 227","60.037153752798,30.2252941"
7336,Автобус,Остановка,ПЛЕСЕЦКАЯ УЛ,ПЛЕСЕЦКАЯ УЛ,"Плесецкая улица, Комендантский проспект","127, 127М, 134, 223, 76","60.0358779174611,30.2260742"
7337,Трамвай,Остановка,Шоссе Революции,Шоссе Революции,"шоссе Революции, улица Потапова",59,"59.9635421908102,30.4649734"
7338,Трамвай,Остановка,Шоссе Революции,Шоссе Революции,"шоссе Революции, улица Потапова",59,"59.9632789376902,30.4650612"
7339,Трамвай,Остановка,Ул. Электропультовцев,Ул. Электропультовцев,улица Электропультовцев,59,"59.9669916390392,30.462862"
7340,Трамвай,Остановка,Ул. Электропультовцев,Ул. Электропультовцев,улица Электропультовцев,59,"59.9672651180795,30.4630203"
7341,Трамвай,Парк,"Трамвайное депо ООО ""Транспортная Концессионная Компания"" (посадки/высадки нет)","Трамвайное депо ООО ""ТКК"" (посадки/высадки нет)",,59,"59.9724061038043,30.4655609"
7342,Троллейбус,Остановка,Пр. Патриотов,Пр. Патриотов,"Ленинский проспект, проспект Патриотов",32,"59.866873430541,30.1559238"
7343,Троллейбус,Остановка,Балтийский бульвар,Балтийский бульвар,"Балтийский бульвар, Ленинский проспект",32,"59.8678300602076,30.1535873"
7344,Троллейбус,Остановка,Ул. Маршала Казакова,Ул. Маршала Казакова,"улица Маршала Казакова, Балтийский бульвар",32,"59.8710323406371,30.1573143"
7345,Троллейбус,Остановка,Пр. Патриотов,Пр. Патриотов,"улица Маршала Казакова, проспект Патриотов",32,"59.8701683724392,30.1610985"
7346,Троллейбус,Остановка,"Ул. Маршала Казакова, 78","Ул. Маршала Казакова, 78","проспект Героев, улица Маршала Казакова",32,"59.8682723635464,30.1678219"
7347,Автобус,Остановка,ПОС. СЕРОВО,ПОС. СЕРОВО,"Набережная улица, Рощинское шоссе",318,"60.2046737556854,29.557394"
7348,Автобус,Остановка,ПОС. СЕРОВО,ПОС. СЕРОВО,"Набережная улица, Луговой переулок",318,"60.2047009072186,29.5571079"
7349,Автобус,Остановка,АРЦЕУЛОВСКАЯ АЛЛЕЯ,АРЦЕУЛОВСКАЯ АЛЛЕЯ,Комендантский проспект,"127, 127М, 134, 223, 227","60.0390537691594,30.2223854"
7350,Автобус,Остановка,"ПЕСОЧНАЯ УЛ., 14, ПО ТРЕБОВАНИЮ","ПЕСОЧНАЯ УЛ., 14, ПО ТРЕБОВАНИЮ",,84,"60.1447227502512,30.1957722"
7351,Автобус,Остановка,"ПЕСОЧНАЯ УЛ., 14, ПО ТРЕБОВАНИЮ","ПЕСОЧНАЯ УЛ., 14, ПО ТРЕБОВАНИЮ",,84,"60.1447295505368,30.1962624"
7352,Автобус,Остановка,"КОМЕНДАНТСКИЙ ПР., 54","КОМЕНДАНТСКИЙ ПР., 54","Комендантский проспект, Нижне-Каменская улица","127, 127М, 134, 223, 76","60.0309139716162,30.2319679"
7353,Автобус,Остановка,"КОМЕНДАНТСКИЙ ПР., 54","КОМЕНДАНТСКИЙ ПР., 54","Комендантский проспект, Нижне-Каменская улица","127, 127М, 134, 223, 76","60.0317498772651,30.2316513"
7354,Автобус,Остановка,"МОРСКАЯ НАБ., 21","МОРСКАЯ НАБ., 21","Морская набережная, Флагманская улица",261,"59.9542108131288,30.2114468"
7355,Автобус,Остановка,КАПИТАНСКАЯ УЛ,КАПИТАНСКАЯ УЛ,"Морская набережная, Капитанская улица",261,"59.9565669860783,30.2129059"
7356,Автобус,Остановка,МАНЧЕСТЕРСКАЯ УЛ,МАНЧЕСТЕРСКАЯ УЛ,"Манчестерская улица, проспект Тореза",222,"60.0130034522237,30.3426857"
7357,Автобус,Остановка,"УРАЛЬСКАЯ УЛ., УГ. ЖЕЛЕЗНОВОДСКОЙ УЛ","УРАЛЬСКАЯ УЛ., УГ. ЖЕЛЕЗНОВОДСКОЙ УЛ","Уральская улица, Железноводская улица","220, 230","59.9535507810915,30.260006"
7358,Автобус,Остановка,"УРАЛЬСКАЯ УЛ., 21","УРАЛЬСКАЯ УЛ., 21","Уральская улица, набережная Макарова","220, 230","59.9550794362948,30.2555962"
7359,Автобус,Остановка,"МОРСКАЯ НАБ., 35","МОРСКАЯ НАБ., 35","Морская набережная, проспект Крузенштерна",261,"59.9599043260642,30.2207184"
7360,Автобус,Остановка,АДМИРАЛЬСКИЙ ПРОЕЗД,АДМИРАЛЬСКИЙ ПРОЕЗД,"Морская набережная, Адмиральский проезд",261,"59.9604274646639,30.2307701"
7361,Автобус,Остановка,АДМИРАЛЬСКИЙ ПРОЕЗД,АДМИРАЛЬСКИЙ ПРОЕЗД,"Морская набережная, проспект Крузенштерна",261,"59.960844601942,30.2288799"
7362,Автобус,Остановка,ПОЭТИЧЕСКИЙ БУЛЬВАР,"ПОЭТИЧЕСКИЙ БУЛЬВАР (272, 251)","улица Есенина, Поэтический бульвар",251,"60.0461241444286,30.3377514"
7363,Автобус,Остановка,УЛИЦА СИКЕЙРОСА,"УЛИЦА СИКЕЙРОСА (272, 251)","улица Есенина, улица Сикейроса","251, 272","60.0353934964847,30.3290119"
7364,Автобус,Остановка,УЧЕБНЫЙ ПЕРЕУЛОК,"УЧЕБНЫЙ ПЕРЕУЛОК (251, 272)","улица Есенина, Учебный переулок","251, 272","60.0396302336605,30.3324604"
7365,Автобус,Остановка,"СОЛНЕЧНОЕ, УЛ. ТАНКИСТОВ, ПО ТРЕБОВАНИЮ","СОЛНЕЧНОЕ, УЛ. ТАНКИСТОВ, ПО ТРЕБОВАНИЮ","Зеленогорское шоссе, улица Танкистов",304,"60.15890508843,29.9374084"
7366,Автобус,Остановка,"ЖК ""КАНТЕЛЕ-2"", ПО ТРЕБОВАНИЮ","ЖК ""КАНТЕЛЕ-2"", ПО ТРЕБОВАНИЮ",Зеленогорское шоссе,304,"60.1666837389008,29.898859"
7367,Автобус,Остановка,"ЖК ""КАНТЕЛЕ-2"", ПО ТРЕБОВАНИЮ","ЖК ""КАНТЕЛЕ-2"", ПО ТРЕБОВАНИЮ",Зеленогорское шоссе,304,"60.1666055877429,29.8976669"
7368,Автобус,Остановка,"КОМАРОВО, УЛ. ОТДЫХА, ПО ТРЕБОВАНИЮ","КОМАРОВО, УЛ. ОТДЫХА, ПО ТРЕБОВАНИЮ","Зеленогорское шоссе, Привокзальная улица",304,"60.1820826847377,29.8208008"
7369,Автобус,Остановка,"КОМАРОВО, УЛ. ОТДЫХА, ПО ТРЕБОВАНИЮ","КОМАРОВО, УЛ. ОТДЫХА, ПО ТРЕБОВАНИЮ","Зеленогорское шоссе, улица Отдыха",304,"60.1816241837582,29.822525"
7370,Автобус,Остановка,ТАНКОВЫЙ ВОЕННЫЙ ГОРОДОК,ТАНКОВЫЙ ВОЕННЫЙ ГОРОДОК,,"110, 84","60.1335105675038,30.1714802"
7371,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, 32","УЛ. СОЛДАТА КОРЗУНА, 32","улица Солдата Корзуна, проспект Ветеранов","160, 52","59.8342424085544,30.2177715"
7372,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, 24","УЛ. СОЛДАТА КОРЗУНА, 24","улица Солдата Корзуна, улица Козлова","160, 52","59.8371836681993,30.2157803"
7373,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, 4","УЛ. СОЛДАТА КОРЗУНА, 4","улица Солдата Корзуна, проспект Маршала Жукова","160, 52","59.8415624719152,30.210392"
7374,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, 4","УЛ. СОЛДАТА КОРЗУНА, 4","улица Солдата Корзуна, улица Козлова","160, 52","59.8403031100953,30.2118092"
7375,Автобус,Остановка,"УЛ. СОЛДАТА КОРЗУНА, 24","УЛ. СОЛДАТА КОРЗУНА, 24",улица Солдата Корзуна,"160, 52","59.8364320758023,30.2157707"
7376,Автобус,Остановка,"ЗАРЕЧНАЯ УЛ., 25","ЗАРЕЧНАЯ УЛ., 25","Заречная улица, улица Валерия Гаврилина","104, 198, 199, 214А","60.0744075478022,30.3285465"
7377,Автобус,Остановка,"УЛ. ФЕДОРА АБРАМОВА, 8","УЛ. ФЕДОРА АБРАМОВА, 8","улица Фёдора Абрамова, 4-й Верхний переулок","143, 148, 214А, 271","60.0733546411907,30.3399258"
7378,Автобус,Остановка,"МАЛАЯ КАРПАТСКАЯ УЛ., 23","МАЛАЯ КАРПАТСКАЯ УЛ., 23","Малая Карпатская улица, Карпатская улица","157, 159","59.8326223739751,30.4312077"
7379,Автобус,Остановка,"МАЛАЯ БАЛКАНСКАЯ УЛ., 60","МАЛАЯ БАЛКАНСКАЯ УЛ., 60","Малая Балканская улица, Бухарестская улица","157, 159","59.8293649049084,30.4268951"
