Район,Наименование учреждения,Сокращенное наименование,Адрес,Руководитель,Телефон,Наличие ясельных групп,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 75 Калининского района Санкт-Петербурга,ГБДОУ детский сад № 75 Калининского района Санкт-Петербурга,"Санкт-Петербург, Светлановский проспект, дом 69, корпус 2, литер А",Дергунова Ирина Владимировна,+7(812)555-34-12,Да,+7(812)5553412,Info.dou75kalin@obr.gov.spb.ru,Муниципальный округ Академическое,7804068837,1027802513639,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 76 компенсирующего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 76 компенсирующего вида Калининского района Санкт-Петербурга,"Санкт-Петербург, Светлановский проспект, дом 109, корпус 4, литер А",Михайлова Наталья Викторовна,+7(812)290-01-05,Нет,+7(812)2900105,Info.gbdou76kalin@obr.gov.spb.ru,Муниципальный округ Прометей,7804060806,1027802513100,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 77 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 77 Калининского района Санкт-Петербурга,"Санкт-Петербург, Бутлерова улица, дом 16, корпус 3, литер А",Ульянова Наталья Вадимовна,+7(812)535-06-35,Да,+7(812)5350635,Info.dou77kalin@obr.gov.spb.ru,Муниципальный округ Гражданка,7804111433,1027802513232,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 78 общеразвивающего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 78 Калининского района Санкт-Петербурга,"Санкт-Петербург, Академика Константинова улица, дом 14, литер А",Егорова Татьяна Васильевна,+7(812)555-26-90,Да,+7(812)5562070,Info.dou78kalin@obr.gov.spb.ru,Муниципальный округ Академическое,7804051978,1027802502309,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 79 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга,ГБДОУ детский сад № 79 Калининского района Санкт-Петербурга,"Санкт-Петербург, Замшина улица, дом 52, корпус 1",Могильникова Виктория Витальевна,+7(812)545-05-40,Да,+7(812)5450540,Ds79@obr.gov.spb.ru,Муниципальный округ Финляндский,7804057634,1027802500648,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 80 компенсирующего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 80 Калининского района Санкт-Петербурга,"Санкт-Петербург, Вавиловых улица, дом 11, корпус 2, литер А",Кукушкина Юлия Викторовна,+7(812)555-69-84,Нет,+7(812)5556642,Info.dou80kalin@obr.gov.spb.ru,Муниципальный округ Академическое,7804086628,1027802513200,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 81 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 81 Калининского района Санкт-Петербурга,"Санкт-Петербург, Гражданский проспект, дом 115, корпус 4, литер А",И.о. Метелева Ольга Федоровна,+7(812)532-37-11,Да,+7(812)5323711,Info.dou81@obr.gov.spb.ru,Муниципальный округ 21,7804087371,1027802513694,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 82 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Калининского района Санкт-Петербурга,ГБДОУ детский сад № 82 Калининского района Санкт-Петербурга,"Санкт-Петербург, Демьяна Бедного улица, дом 10, корпус 5, литер А",Шуравина Елена Евгеньевна,+7(812)559-90-78,Да,+7(812)5591494,Dou82kalin@obr.gov.spb.ru,Муниципальный округ Северный,7804051960,1027802513551,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 83 Калининского района Санкт-Петербурга,ГБДОУ детский сад № 83 Калининского района Санкт-Петербурга,"Санкт-Петербург, Ушинского улица, дом 9, корпус 2, литер А",Смирнова Елена Александровна,+7(812)531-76-51,Да,+7(812)5320710,Info.gbdou83kalin@obr.gov.spb.rud,Муниципальный округ 21,7804482935,1127847182352,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 84 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 84 комбинированного вида Калининского района Санкт-Петербурга,"Санкт-Петербург, Гражданский проспект, дом 90, корпус 4, литер А",Барабанова Екатерина Вячеславовна,+7(812)556-82-88,Да,+7(812)5568288,Dou84@obr.gov.spb.ru,Муниципальный округ Академическое,7804057377,1027802511880,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 85 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 85 Калининского района Санкт-Петербурга,"Санкт-Петербург, Демьяна Бедного улица, дом 30, корпус 3, литер А",Агаева Татьяна Исмайловна,+7(812)558-55-03,Да,+7(812)5585503,Gbdou85@obr.gov.spb.ru,Муниципальный округ Северный,7804095527,1027802514035,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 86 общеразвивающего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 86 Калининского района Санкт-Петербурга,"Санкт-Петербург, Тимуровская улица, дом 30, корпус 2, литер А",Шаденкова Татьяна Владимировна,+7(812)531-48-44,Да,+7(812)5329455,Dou86spb@obr.gov.spb.ru,Муниципальный округ Прометей,7804057031,1027802500604,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 88 Калининского района Санкт-Петербурга,ГБДОУ детский сад № 88 Калининского района Санкт-Петербурга,"Санкт-Петербург, Культуры проспект, дом 29, корпус 5, литер А",Котлова Марина Васильевна,+7(812)558-41-00,Да,+7(812)5584100,Info.dou88kalin@obr.gov.spb.ru,Муниципальный округ Северный,7804095598,1027802501682,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 92 Калининского района Санкт-Петербурга,ГБДОУ детский сад № 92 Калининского района Санкт-Петербурга,"Санкт-Петербург, Светлановский проспект, дом 68, корпус  2, литер А",Ткаченко Марина Александровна,+7(812)558-76-92,Да,+7(812)5584008,Ds92@obr.gov.spb.ru,Муниципальный округ Прометей,7804073996,1027802500659,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 93 компенсирующего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 93 Калининского района Санкт-Петербурга,"Санкт-Петербург, Гражданский проспект, дом 83, корпус 2",Петрова Ирина Васильевна,+7(812)531-26-73,Да,+7(812)5333404,Info.dou93@obr.gov.spb.ru,Муниципальный округ Академическое,7804086610,1027802513133,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 95 компенсирующего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 95 Калининского района Санкт -Петербурга,"Санкт-Петербург, Тимуровская улица, дом 12, корпус 2, литер А",Давтян Елена Юрьевна,+7(812)558-79-77,Да,+7(812)5589922,Info.dou95kalin@obr.gov.spb.ru,Муниципальный округ Прометей,7804076757,1027802513287,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 96 общеразвивающего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 96 Калининского района Санкт-Петербурга,"Санкт-Петербург, Карпинского улица, дом 24, корпус 2, литер А",Васке Елена Вильевна,+7(812)299-31-86,Да,+7(812)2999597,Dou96spb@obr.gov.spb.ru,Муниципальный округ Гражданка,7804092170,1027802500550,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 97 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга,ГБДОУ детский сад № 97 Калининского района Санкт-Петербурга,"Санкт-Петербург, Руставели улица, дом 58, корпус 2, литер А",Иванова Наталья Николаевна,+7(812)532-00-45,Да,+7(812)2905244,Info.dou97kalin@obr.gov.spb.ru,Муниципальный округ 21,7804132666,1037808011306,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 98 общеразвивающего вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 98 Калининского района Санкт-Петербурга,"Санкт-Петербург, Луначарского проспект, дом 78, корпус 4, литер А",Фролова Ирина Алексеевна,+7(812)557-75-09,Да,+7(812)5577509,Info.dou98@obr.gov.spb.ru,Муниципальный округ Северный,7804087710,1027802513243,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 99 общеразвивающего вида с приоритетным осуществлением деятельности по физическому развитию детей Калининского района Санкт-Петербурга,ГБДОУ детский сад № 99 Калининского района Санкт-Петербурга,"Санкт-Петербург, Академика Байкова улица, дом 9, корпус 2, литер А",Мартемьянова Юлия Александровна,+7(812)291-93-25,Да,+7(812)2919325,Gbdou99@obr.gov.spb.ru,Муниципальный округ Академическое,7804068820,1027802514288,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 100 Калининского района Санкт-Петербурга,ГБДОУ детский сад № 100 Калининского района Санкт-Петербурга,"Санкт-Петербург, Веденеева улица, дом 10, корпус 2 литер А",Гришина Светлана Владиславовна,+7(812)550-65-33,Да,+7(812)5506533,Info.dou100kalin@obr.gov.spb.ru,Муниципальный округ Академическое,7804086392,1027802502298,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 101 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 101 Калининского района Санкт-Петербурга,"г.Санкт-Петербург, Пискарёвский проспект, дом 52, корпус 2, литера А",Николаева Елена Самвеловна,+7(812)299-99-15,Да,+7(812)2999915,Info.dou101kalinspb@obr.gov.spb.ru,Муниципальный округ Пискарёвка,7804086917,1027802500582,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 102 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 102 Калининского района Санкт-Петербурга,"Санкт-Петербург, Северный проспект, дом 65, корпус 2, литер А",И.о. Петрова Светлана Николаевна,+7(812)533-15-42,Да,+7(812)5331542,Dou102kalin@obr.gov.spb.ru,Муниципальный округ Академическое,7804052788,1027802501572,
Калининский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 619 Калининского района Санкт-Петербурга,Школа № 619,"Санкт-Петербург, Демьяна Бедного улица, дом 4, корпус 2",Нечаева Марина Анатольевна,+7(812)417-51-09,Да,+7(812)4175117,School619@obr.gov.spb.ru,Муниципальный округ Северный,7804085825,1027802506071,
Калининский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 98 с углублённым изучением английского языка Калининского района Санкт-Петербурга отделение дошкольного образования,ГБОУ прогимназия № 98 Калининского района Санкт-Петербурга отделение дошкольного образования,"Санкт-Петербург, Гражданский проспект, дом 83, корпус 5, литер А",Фетисова Ирина Владимировна,+7(812)533-64-31,Да,+7(812)5336431,Nfoschool98@obr.gov.spb.ru,Муниципальный округ Академическое,7804054513,1027802496842,
Калининский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 653 с углубленным изучением иностранных языков (хинди и английского) Калининского района Санкт-Петербурга имени Рабиндраната Тагора,ГБОУ СОШ № 653 Калининского района Санкт-Петербурга имени Рабиндраната Тагора,"Санкт-Петербург, Мечникова проспект, дом 5, корпус 1, Литер А",Ткачёва Елена Викторовна,+7(812)544-29-63,Нет,+7(812)5435150,Dou653spb@obr.gov.spb.ru,Муниципальный округ Пискарёвка,7804093336,1027802497447,
Калининский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 100 Калининского района Санкт-Петербурга,ГБОУ школа № 100 Калининского района Санкт-Петербурга,"Санкт-Петербург, Бестужевская улица, дом 5, корпус 1",Лудкова Олеся Анатольевна,+7(812)247-44-55,Да,+7(812)2474455,Info.school100@obr.gov.spb.ru,Муниципальный округ Пискарёвка,7804573967,1167847321861,
Калининский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 87 комбинированного вида Калининского района Санкт-Петербурга,ГБДОУ детский сад № 87 Калининского района Санкт-Петербурга,"Санкт-Петербург, Полюстровский проспект, дом 65",Аргеландер Ирина Геннадьевна,8-921-954-91-67,,8-921-954-91-67,Gbdou87spb@obr.gov.spb.ru,Муниципальный округ Финляндский,7804698412,1037808011306,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 1 общеразвивающего вида с приоритетным деятельности по художественно-эстетическому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 1,"198097,Санкт-Петербург,ул. Маршала Говорова, д. 24, корп. 2",Зиновьева Анна Алексеевна,+7 (812)786 71 90,да,+7 (812)786 71 90,dou1.kir@obr.gov.spb.ru,Нарвский округ,7805144801,1027802746619,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 2 компенсирующего вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 2,"198215,Санкт-Петербург,ул. Счастливая, д. 11",Смирнова Галина Алексеевна,+7 (812)377 43 01,нет,+7 (812)377 43 01,dou2.kir@obr.gov.spb.ru,Княжево,7805144819,1027802728469,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 3 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 3,"198207,Санкт-Петербург,пр. Трамвайный, д. 11, корп. 4",Кузнецова Ирина Николаевна,+7 (812) 377 23 34,да,+7 (812) 377 23 34,dou3.kir@obr.gov.spb.ru,Княжево,7805144826,1027802741020,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 4,"198096,Санкт-Петербург,пр. Стачек, д. 55, пом. 51-н",Ястребинская Анна Александровна,+7 (812)783 47 69,да,+7 (812)783 47 69,dou4.kir@obr.gov.spb.ru,Автово,7805144833,1027802731582,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 4 Кировского района Санкт-Петербурга (пр. Стачек, д. 55, пом. 35-н)",ГБДОУ детский сад № 4,"198096,Санкт-Петербург,пр. Стачек, д. 55, пом. 35-н",Ястребинская Анна Александровна,+7 (812)783 47 69,да,+7 (812)783 47 69,dou4.kir@obr.gov.spb.ru,Автово,7805144833,1027802731582,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 5,"198188,Санкт-Петербург,ул. Васи Алексеева, д. 5",Ильченко Ольга Владимировна,+7 (812)784 92 16,да,+7 (812)784 92 16,dou5.kir@obr.gov.spb.ru,Автово,7805144840,1027802731164,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 5 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга (ул. Возрождения, д. 9)",ГБДОУ детский сад № 5,"198188,Санкт-Петербург, ул. Возрождения, д. 9",Ильченко Ольга Владимировна,+7 (812)784 92 16,да,+7 (812)784 92 16,dou5.kir@obr.gov.spb.ru,Автово,7805144840,1027802731164,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 7 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 7,"198207,Санкт-Петербург,пр. Стачек, д. 150, пом. 9-н",Павлова Марина Борисовна,43089136468,нет,+7 (812)758 07 77,dou7.kir@obr.gov.spb.ru,Дачное,7805144865,1027802762987,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 8 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 8,"198152,Санкт-Петербург,ул. Автовская, д. 23",Сулейманова Ольга Александровна,+7 (812)784 26 51,да,+7 (812)784 26 51,dou8.kir@obr.gov.spb.ru,Автово,7805144872,1027802750910,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 10 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 10,"г.Санкт-Петербург, бульвар Новаторов, дом 7, литера А",Лимонова Марина Владимировна,+7 (812)377 23 41,да,+7 (812)377 23 41,dou10.kir@obr.gov.spb.ru,Княжево,7805144880,1037811014230,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 11,"198099,Санкт-Петербург,ул. Севастопольская, д. 11",Харламова Ирина Владимировна,+7 (812)786 20 80,да,+7 (812)786 20 80,dou11.kir@obr.gov.spb.ru,Нарвский округ,7805144897,1037811058174,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Кировского района Санкт-Петербурга (ул. Севастопольская, д. 9)",ГБДОУ детский сад № 11,"198099,Санкт-Петербург,ул. Севастопольская, д. 9",Харламова Ирина Владимировна,+7 (812)786 20 80,да,+7 (812)786 20 80,dou11.kir@obr.gov.spb.ru,Нарвский округ,7805144897,1037811058174,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 11 Кировского района Санкт-Петербурга (ул. Севастопольская, д. 35)",ГБДОУ детский сад № 11,"198099,Санкт-Петербург,ул. Севастопольская, д. 35",Харламова Ирина Владимировна,+7 (812)786 20 80,да,+7 (812)786 20 80,dou11.kir@obr.gov.spb.ru,Нарвский округ,7805144897,1037811058174,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 12 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 12,"198096,Санкт-Петербург,пр. Стачек, д. 67, корп. 7, пом. 8-н",Карташова Наталия Николаевна,+7 (812)784 82 31,да,+7 (812)784 82 31,dou12.kir@obr.gov.spb.ru,Автово,7805144907,1027802730350,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 12 комбинированного вида Кировского района Санкт-Петербурга (пр. Стачек, д. 59, корп. 4)",ГБДОУ детский сад № 12,"198096,Санкт-Петербург,пр. Стачек, д. 59, корп. 4",Карташова Наталия Николаевна,+7 (812)784 82 31,да,+7 (812)784 82 31,dou12.kir@obr.gov.spb.ru,Автово,7805144907,1027802730350,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 13 компенсирующего вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 13,"г.Санкт-Петербург, бульвар Новаторов, дом 15, литера А",Ергина Елена Николаевна,+7 (812)376 65 44,да,+7 (812)376 65 44,dou13.kir@obr.gov.spb.ru,Княжево,7805150185,1027802728645,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 14 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 14,"198260,Санкт-Петербург,ул. Козлова, д. 47, корп. 2",Беляшкина Лариса Валерьевна,+7 (812)750 04 36,да,+7 (812)750 04 36,dou14.kir@obr.gov.spb.ru,Ульянка,7805144921,1027802739040,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 15 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 15,"198261, Санкт-Петербург, пр. Ветеранов, д. 105, корп. 2",Валявская Наталья Геннадьевна,+7 (812) 368 74 35,да,+7 (812) 368 74 35,dou15.kir@obr.gov.spb.ru,Ульянка,7805575276,1117847660193,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 16 Кировского района Санкт-Петербурга (ул. Промышленная, д. 24)",ГБДОУ детский сад № 16,"198099,Санкт-Петербург,ул. Промышленная, д. 24",Гусарова Татьяна Сергеевна,+7 (812)786 05 01,да,+7 (812)786 05 01,dou16.kir@obr.gov.spb.ru,Нарвский округ,7805144946,1037811058120,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 16 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 16,"г.Санкт-Петербург, Промышленная улица, дом 20/1, литера А",Гусарова Татьяна Сергеевна,+7 (812)786 05 01,да,+7 (812)786 05 01,dou16.kir@obr.gov.spb.ru,Нарвский округ,7805144946,1037811058120,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 17 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 17,"198215,Санкт-Петербург,ул. Подводника Кузьмина, д. 40",Бабкова Юлия Николаевна,+7 (812)376 77 28,да,+7 (812)376 77 28,dou17.kir@obr.gov.spb.ru,Княжево,7805144784,1027802743473,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 18 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 18,"198303,Санкт-Петербург,пр. Маршала Жукова, д. 32, корп. 2",Иванова Юлия Викторовна,+7 (812)757 99 46,да,+7 (812)757 99 46,dou18.kir@obr.gov.spb.ru,Красненькая речка,7805144953,1027802732814,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 19 комбинированного вида Кировского района Санкт-Петербурга (пр. Народного Ополчения, д. 11)",ГБДОУ детский сад № 19,"198216,Санкт-Петербург,пр. Народного Ополчения, д. 11",Павликова Раиса Алексеевна,+7 (812)377 37 23,да,+7 (812)377 37 23,dou19.kir@obr.gov.spb.ru,Княжево,7805144960,1027802726687,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 19 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 19,"198216,Санкт-Петербург,пр. Народного Ополчения, д. 10, пом. 82-н, 107-н",Павликова Раиса Алексеевна,+7 (812)377 37 23,да,+7 (812)377 37 23,dou19.kir@obr.gov.spb.ru,Княжево,7805144960,1027802726687,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 20 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 20,"г.Санкт-Петербург, улица Лёни Голикова, дом 37, корпус 3, литера А",Галкова Наталья Геннадьевна,+7 (812)752 40 02,да,+7 (812)752 40 02,dou20.kir@obr.gov.spb.ru,Дачное,7805144978,1027802727017,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 21 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 21,"г.Санкт-Петербург, бульвар Новаторов, дом 42, литера А",Петрова Татьяна Олеговна,+7 (812)377 36 83,да,+7 (812)377 36 83,dou21.kir@obr.gov.spb.ru,Княжево,7805144985,1027802774053,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 22 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 22,"198215,Санкт-Петербург,ул. Счастливая, д. 3",Николаенко Наталья Евгеньевна,+7 (812)377 26 05,да,+7 (812)377 26 05,dou22.kir@obr.gov.spb.ru,Княжево,7805144992,1027802767739,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 23 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 23,"198215,Санкт-Петербург,пр. Народного Ополчения, д. 95",Титова Алла Владимировна,+7 (812)372 23 70,да,+7 (812)372 23 70,dou23.kir@obr.gov.spb.ru,Княжево,7805144914,1027802727039,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 24 общеразвивающего вида с приоритетным деятельности по познавательно-речевому и художественно-эстетическому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 24,"г.Санкт-Петербург, бульвар Новаторов, дом 74, литера А",Малич Надежда Петровна,+7 (812)364 62 63,да,+7 (812)364 62 63,dou24.kir@obr.gov.spb.ru,Княжево,7805145001,1027802737192,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 25 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 25,"198215,Санкт-Петербург,пр. Дачный, д. 14, корп. 2",Морозова Алла Николаевна,+7 (812)756 05 26,да,+7 (812)756 05 26,dou25.kir@obr.gov.spb.ru,Княжево,7805145019,1027802733200,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 26 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 26,"198215,Санкт-Петербург,ул. Подводника Кузьмина, д. 15",Степанова Елена Анатольевна,+7 (812)364 60 98,да,+7 (812)364 60 98,dou26.kir@obr.gov.spb.ru,Княжево,7805145026,1027802738578,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 27 комбинированного вида Кировского района Санкт-Петербурга,ГБДОУ детский сад № 27,"г.Санкт-Петербург, улица Лёни Голикова, дом 24, корпус 2, литера А",Бараева Светлана Васильевна,+7 (812)752 41 04,да,+7 (812)752 41 04,dou27.kir@obr.gov.spb.ru,Дачное,7805145033,1027802736763,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 28 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 28,"198217,Санкт-Петербург,пр. Дачный, д. 31, корп. 1",Чистякова Надежда Владимировна,+7 (812)756 77 71,да,+7 (812)756 77 71,dou28.kir@obr.gov.spb.ru,Дачное,7805145040,1027802738292,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 29 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 29,"198260,Санкт-Петербург,ул. Козлова, д. 17, корп. 2",Забоева Светлана Павловна,+7 (812)620 73 59,да,+7 (812)620 73 59,dou29.kir@obr.gov.spb.ru,Ульянка,7805145058,1027802739117,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 30 общеразвивающего вида с приоритетным деятельности по художественно-эстетическому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 30,"г.Санкт-Петербург, улица Лёни Голикова, дом 64, литера А",Смирнова Наталия Евгеньевна,+7 (812)756 58 52,да,+7 (812)756 58 52,dou30.kir@obr.gov.spb.ru,Дачное,7805145065,1027802727028,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 31 общеразвивающего вида с приоритетным осуществлением деятельности по познавательно-речевому развитию детей Кировского района Санкт-Петербурга,ГБДОУ детский сад № 31,"198260,Санкт-Петербург,ул. Солдата Корзуна, д. 5, корп. 2",Басова Ольга Владимировна,+7 (812)759 18 18,да,+7 (812)759 18 18,dou31.kir@obr.gov.spb.ru,Ульянка,7805145072,1027802727941,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 32 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 32,"198261,Санкт-Петербург,ул. Генерала Симоняка, д. 1, корп. 2",Ткачук Елена Викторовна,+7 (812)759 08 23,да,+7 (812)759 08 23,dou32.kir@obr.gov.spb.ru,Ульянка,7805145080,1027802725280,
Кировский,"Государственное бюджетное дошкольное образовательное учреждение детский сад № 33 Кировского района Санкт-Петербурга (пр. Дачный, д. 3, корп. 3)",ГБДОУ детский сад № 33,"198262,Санкт-Петербург,пр. Дачный, д. 3, корп. 3",Соловьева София Алексеевна,+7 (812)752 16 30,да,+7 (812)752 16 30,dou33.kir@obr.gov.spb.ru,Дачное,7805150749,1027802727930,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 33 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 33,"198262,Санкт-Петербург,пр. Стачек, д. 192, корп. 2",Соловьева София Алексеевна,+7 (812)752 16 30,да,+7 (812)752 16 30,dou33.kir@obr.gov.spb.ru,Дачное,7805150749,1027802727930,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 34 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 34,"198217,Санкт-Петербург,ул. Танкиста Хрустицкого, д. 29",Алексеева Лилия Викторовна,+7 (812)752 74 00,да,+7 (812)752 74 00,dou34.kir@obr.gov.spb.ru,Дачное,7805145097,1027802738116,
Кировский,Государственное бюджетное дошкольное образовательное учреждение детский сад № 35 Кировского района Санкт-Петербурга,ГБДОУ детский сад № 35,"198260,Санкт-Петербург,ул. Стойкости, д. 19, корп. 2",Власова Светлана Викторовна,+7 (812)755 18 18,да,+7 (812)755 18 18,dou35.kir@obr.gov.spb.ru,Ульянка,7805526494,1107847234703,
